idiom,pinyin,explanation,originate,example,pyorder,frequency
源源不断,yuán  yuán  bù  duàn,形容接连不断。,《孟子·万章上》：“欲常常而见之，故源源而来。”,夜间，官军打通了由智亭山通往龙驹寨的大道，所以从天亮起就有军粮～地从龙驹寨向西运送。（姚雪垠《李自成》第二卷第十三章）,yybd,19395
络绎不绝,luò  yì  bù  jué,形容行人车马来来往往，接连不断。,《后汉书·南匈奴传》：“窜逃入塞者络绎不绝。”,我梦里所到的地方，竟是一片康庄大道，马来车往，～。（清·李宝嘉《官场现形记》第六十回）,lybj,19137
弄虚作假,nòng  xū  zuò  jiǎ,耍花招欺骗人。,,无论做什么事都应该实事求是，不该～。,nxzj,19010
不可思议,bù  kě  sī  yì,原有神秘奥妙的意思。现多指无法想象，难以理解。,《维摩诘所说经·不思议品》：“诸佛菩萨有解脱名不可思议。”,一片澄澈的蔚蓝色的天宇，高深得～。（郭沫若《少年时代·黑猫》）,bksy,18980
不正之风,bù  zhèng  zhī  fēng,不正当的社会风气。,《抱朴子·辩问》：“移不正之风，易流遁之俗。”,,bzzf,18949
小心翼翼,xiǎo  xīn  yì  yì,翼翼：严肃谨慎。本是严肃恭敬的意思。现形容谨慎小心，一点不敢疏忽。,《诗经·大雅·大明》：“维此文王，小心翼翼。”,母亲～地起床做饭，心里欣喜地想，让儿子多睡一会，不要惊醒他。（冯德英《迎春花》第二章）,xxyy,18841
长治久安,cháng  zhì  jiǔ  ān,形容国家长期安定、巩固。,《汉书·贾谊传》：“建久安之势，成长治之业。”,,czja,18732
如火如荼,rú  huǒ  rú  tú,荼：茅草的白花。象火那样红，象荼那样白。原比喻军容之盛。现用来形容大规模的行动气势旺盛，气氛热烈。,《国语·吴语》：“万人以为方阵，皆白裳，白旗，素甲，白羽之缯，望之如荼。……左军亦如之，皆赤裳，赤，丹甲，朱羽之缯，望之如火。”,过了两年“五四运动”发生了。报纸上的～的记载唤醒了他的被忘却了的青春。（巴金《家》六）,rhrt,18585
不折不扣,bù  zhé  bù  kòu,折、扣：出售商品时，按定价减去的成数。没有折扣，表示完全、十足的意思。,,如今的妇女跟男人～一样尊贵！（老舍《女店员》第二幕）,bzbk,18574
后顾之忧,hòu  gù  zhī  yōu,顾：回头看。来自后方的忧患。指在前进过程中，担心后方发生问题。,《魏书·李冲传》：“朕以仁明忠雅，委以台司之寄，使我出境无后顾之忧。”,将军为殿，寡人～矣。（明·冯梦龙《东周列国志》第六十二回）,hgzy,18005
纸醉金迷,zhǐ  zuì  jīn  mí,原意是让闪光的金纸把人弄迷糊了。形容叫人沉迷的奢侈繁华环境。,宋·陶穀《清异录·居室》：“（痈医孟斧）有一小室，窗牖焕明，器皆金饰，纸光莹白，金彩夺目，所亲见之，归语人曰：‘此室暂憩，令人金迷纸醉。’”,我来到日本不久，听的不多，见的不广，但在五光十色、～的纷乱生活中，有些事物给我的刺激特别深。（杨朔《樱花雨》）,zzjm,17612
力所能及,lì  suǒ  néng  jí,在自己力量的限度内所能做到的。,晋·羊佑《诫子书》：“今之职位，谬恩之加耳，非吾力所能致也。”,特别是要用实例、用典型示范去告诉他们组织起来的好处，这种好处是超出单干户～的。（郭小川《十字路口》）,lsnj,17518
供不应求,gōng  bù  yìng  qiú,供：供给，供应；求：需求，需要。供应不能满足需求。,,,gbyq,17422
一目了然,yī  mù  liǎo  rán,目：看；了然：清楚，明白。一眼就看得很清楚。,明·张岱《皇华考序》：“可见按图索籍，三溪道路，一目了然。”,却说这中堂正对着那个围场，四扇大窗洞开，场上的事，～。（清·曾朴《孽海花》第十九回）,ymlr,17310
显而易见,xiǎn  ér  yì  jiàn,形容事情或道理很明显，极容易看清楚。,清·李渔《闲情偶寄·结构第一》：“此显而易见之事，从无一人辩之。”,日本帝国主义和中国讨伐派的失望，已～。（毛泽东《关于蒋介石声明的声明》）,xeyj,17273
持之以恒,chí  zhī  yǐ  héng,持：坚持；恒：恒心。长久坚持下去。,,学习要锲而不舍，～，就能取得好成绩。,czyh,16953
成千上万,chéng  qiān  shàng  wàn,形容数量很多。,,做假事骗得了几个人，骗不了～的人。（老舍《神拳》第二幕）,cqsw,16698
大街小巷,dà  jiē  xiǎo  xiàng,城镇里的街道里弄，概指都市里的各处地方。,明·施耐庵《水浒全传》第六十六回：“正月十五日，上元佳节，好生晴朗，黄昏月上，六街三市，各处坊隅巷陌，点花放灯，大街小巷，都有社火。”,,djxx,16354
可想而知,kě  xiǎng  ér  zhī,不用说明就能想象得到。,宋·王楙《野客丛书》：“……而郊以吟诗废务，上官差官以摄其职，分其半禄，酸寒之壮，可想而知。”,你想日本人练陆军把东三省地图当作功课，其用心～。（清·高鹗《老残游记续集》第一回）,kxez,16264
安居乐业,ān  jū  lè  yè,安：安定；乐：喜爱，愉快；业：职业。指安定愉快地生活和劳动。,《老子》：“民各甘其食，美其服，安其俗，乐其业，至老死不相往来。”《汉书·货殖列传》“各安其居而乐其业，甘其食而美其服。”,反动军阀的残暴统治，使广大人民无法～，只能四处逃亡。,ajly,16133
齐心协力,qí  xīn  xié  lì,形容认识一致，共同努力。,《墨子·尚贤》：“《汤誓》曰：‘聿求元圣，与之戮力同心，以治天下。’”,往后咱们～，一块打反动派！（冯德英《迎春花》第十九章）,qxxl,15972
得天独厚,dé  tiān  dú  hòu,天：天然，自然；厚：优厚。具备的条件特别优越，所处环境特别好。,,他有一副好嗓子，学唱歌是～。,dtdh,15675
一见钟情,yī  jiàn  zhōng  qíng,钟：集中；钟情：爱情专注。旧指男女之间一见面就产生爱情。,,,yjzq,15636
艰苦奋斗,jiān  kǔ  fèn  dòu,不怕艰难困苦，坚持英勇斗争。,,我们要提倡～，反对铺张浪费。,jkfd,15564
全心全意,quán  xīn  quán  yì,投入全部精力，一点没有保留。,,张思德～为人民服务的精神，值得我们学习。,qxqy,15503
独一无二,dú  yī  wú  èr,没有相同的或没有可以相比的。,,赢了钱，便大把的赏人；输了钱，无论上千上万，从不兴皱眉头：真要算得～的好赌品了。（清·李宝嘉《官场现形记》第二十一回）,dywe,15496
不约而同,bù  yuē  ér  tóng,约：相约。事先没有约定而相互一致。,《史记·平津侯主父列传》：“应对而皆动，不谋而俱起，不约而同会。”,中军元帅栾书，～，亦至朝门，正遇胥童引兵到来。（明·冯梦龙《东周列国志》第五十九回）,byet,15230
紧锣密鼓,jǐn  luó  mì  gǔ,锣声紧，鼓点密。戏曲开台前的一阵节奏急促的锣鼓。比喻为配合某人的上台或某事的推行而制造的气氛、声势。,,,jlmg,15200
五花八门,wǔ  huā  bā  mén,原指五行阵和八门阵。这是古代两种战术变化很多的阵势。比喻变化多端或花样繁多。,《虞初新志·孙嘉淦<南游记>》：“伏龙以西，群峰乱峙，四布罗列，如平沙万幕，八门五花。”,湖北的省政府在当时真正是一种鱼龙漫衍的“模范政府”，那个委员会～地是什么人品都有。（郭沫若《革命春秋·北伐途次》）,whbm,15109
一应俱全,yī  yīng  jù  quán,一应：一切；俱：都。一切齐全，应有尽有。,,厨房里的各种调味作料，～。,yyjq,15089
应运而生,yìng  yùn  ér  shēng,应：顺应；运：原指天命，泛指时机。旧指应天命而产生。现指适应时机而产生。,汉·荀悦《汉纪·后序》：“实天生德，应运建主。”,天地生人，除大仁大恶，余者皆无大异；若大仁者则～，大恶者则应劫而生，运生世治，劫生世危。（清·曹雪芹《红楼梦》第二回）,yyes,14881
与众不同,yǔ  zhòng  bù  tóng,跟大家不一样。,清·李汝珍《镜花缘》：“这是今日令中第一个古人，必须出类拔萃，与众不同，才觉有趣。”,从他～的解题思路中，看出他很聪明。,yzbt,14801
触目惊心,chù  mù  jīng  xīn,看见某种严重情况，心里感到震惊。,唐·韩愈《昌黎集·贞曜先生墓志铭》：“及其为诗，刿目怵心。”,又因他姓赤，惟恐厕内倘有赤痢血痔之类，也好教他～，时常打扫：因此把他派了。（清·李汝珍《镜花缘》第九十九回）,cmjx,14766
屡见不鲜,lǚ  jiàn  bù  xiān,屡：多次；鲜：新鲜，新奇。常常见到，并不新奇。,《史记·郦生陆贾列传》：“一岁中往来过他客，率不过再三过，数见不鲜，天久慁公为也。”,搜身的纠葛，在香港～。（鲁迅《而已集·略谈香港》）,ljbx,14553
无独有偶,wú  dú  yǒu  ǒu,独：一个；偶：一双。不只一个，竟然还有配对的。表示两事或两人十分相似。,,先生与这位老夫子，可称～。（刘半农《奉答王敬轩先生》）,wdyo,14457
行之有效,xíng  zhī  yǒu  xiào,之：代词，它，指办法、措施等；效：成效，效果。实行起来有成效。指某种方法或措施已经实行过，证明很有效用。,,整风是在我们历史上～的办法。（毛泽东《中中国共产党第八届中央委员会第二次全体会议上的讲话》）,xzyx,14353
不知不觉,bù  zhī  bù  jué,知：知道；觉：觉察。没有意识到，没有觉察到。现多指未加注意。,明·赵弼《两教辨》：“遂使昏愚之徒，听其妖诞，舍正从邪，醉生梦死，不知不觉。尧舜三代以前，未闻有此教。”,他的残忍和狠毒，时而～地在老人面前显露出来。（曹禺《王昭君》第二幕）,bzbj,14263
大势所趋,dà  shì  suǒ  qū,大势：指整个局势。整个局势发展的趋向。,宋·陈亮《上孝宗皇帝第三书》：“天下大势之所趋，非人力之所能移也。”,解放区人民的力量，大后方人民的力量，国际形势，～，使得国民党不得不承认这些东西。（毛泽东《关于重庆谈判》）,dssq,14236
心有余悸,xīn  yǒu  yú  jì,悸：因害怕而心跳得厉害。危险的事情虽然过去了，回想起来心里还害怕。,,如果他第一次在路上遇到的只是井绳，他就不会～了。（孙犁《奋勇地前进、战斗—在一次座谈会上的发言》）,xyyj,13820
不得而知,bù  dé  ér  zhī,没有办法知道。,唐·韩愈《争臣论》：“故虽谏且议，使人不得而知焉。”,从未到过广西，所以谁做了广西政府的“高等顾问”等等，我～。（邹韬奋《经历·贫民窟里的报馆》）,bdez,13727
前所未有,qián  suǒ  wèi  yǒu,从来没有过的。,宋·徐度《却扫编》卷下：“而邓枢密洵武真以少保领院而不兼节钺，前所未有也。”,,qswy,13620
迫不及待,pò  bù  jí  dài,近：紧急。急迫得不能等待。形容心情急切。,清·李汝珍《镜花缘》第六回：“且系酒后游戏，该仙子何以迫不急待。”,他～地推开门，走进屋去。,pbjd,13603
雪上加霜,xuě  shàng  jiā  shuāng,比喻接连遭受灾难，损害愈加严重。,宋·释道原《景德传灯录》卷十九：“饶你道有什么事，犹是头上着头，雪上加霜。”,正在惊慌，偏又转了迎面大风，真是～。（清·李汝珍《镜花缘》第五十一回）,xsjs,13570
迫在眉睫,pò  zài  méi  jié,形容事情已到眼前，情势十分紧迫。,《庄子·庚桑楚》：“曰：向吾见若眉睫之间。”《列子·仲尼》：“远在八荒之外，近在眉睫之内。”,新的内战危机忽然又～了。（方纪《挥手之间》）,pzmj,13502
此起彼伏,cǐ  qǐ  bǐ  fú,这里起来，那里下去。形容接连不断。,,～，似有万人响应。（华而实《汉衣冠》四）,cqbf,13494
脚踏实地,jiǎo  tà  shí  dì,比喻做事踏实，认真。,宋·邵伯温《邵氏闻见前录》卷十八：“公尝问康节曰：‘某何如人？’曰：‘君实脚踏实地人也。’”,他们渐渐丢了那空架子，～向前走去。（朱自清《论书生的酸气》）,jtsd,13433
错综复杂,cuò  zōng  fù  zá,错：交错，交叉；综：合在一起。形容头绪多，情况复杂。,《周易·系辞上》：“参伍以变，错综其数。”,不管形式上怎样～，变化诡奇，实际上总有一个基本的道理贯串其间。（秦牧《河汊错综》）,czfz,13132
无可厚非,wú  kě  hòu  fēi,厚：深重；非：非议，否定。不能过分责备。指说话做事虽有缺点，但还有可取之处，应予谅解。,《汉书·王莽传中》：“莽怒，免英官。后颇觉悟，曰：‘英亦未可厚非。’”,作者的动机～，但客观效果则不尽符合作者的动机。（茅盾《一九六０年短篇小说漫评》）,wkhf,13090
源远流长,yuán  yuǎn  liú  cháng,源头很远，水流很长。比喻历史悠久。,唐·白居易《海州刺史裴君夫人李氏墓志铭》：“夫源远者流长，根深者枝茂。”,剥削阶级的幸福观，是～，影响仍然是相当深广的。（秦牧《一个黑人战士的豪迈声音》）,yylc,13043
举一反三,jǔ  yī  fǎn  sān,反：类推。比喻从一件事情类推而知道其他许多事情。,《论语·述而》：“举一隅不以三隅反，则不复也。”,我是凭着一卷《诗韵》学说话，倒可以有“～”的效验。（清·吴趼人《二十年目睹之怪现状》第三十四回）,jyfs,13004
循序渐进,xún  xù  jiàn  jìn,指学习工作等按照一定的步骤逐渐深入或提高。,《论语·宪问》：“不怨天，不尤人，下学而上达，知我者其天乎？”朱熹注：“此但自言其反己自修，循序渐进耳。”,她通常是从一个角度写，而不是从几个角度写；还只是～地写，而不是错综交叉地写。（茅盾《怎样评价〈青春之歌〉？》）,xxjj,12875
不遗余力,bù  yí  yú  lì,遗：留；余力：剩下的力量。把全部力量都使出来，一点不保留。,《战国策·赵策三》：“秦之攻我也，不遗余力矣，必以倦而归也。”《史记·平原君虞卿列传》：“秦不遗余力矣，必且欲破赵军。”,委员和事，调停惟赖孔方；绅士责言，控诉～。（清·李宝嘉《文明小史》第四回）,byyl,12844
不言而喻,bù  yán  ér  yù,喻：了解，明白。不用说话就能明白。形容道理很明显。,《孟子·尽心上》：“仁义礼智根于心，其生色也，然见于面。盎于背，施于四体，四体不言而喻。”,你想他们这朋友之乐，尽可～了。（清·刘鹗《老残游记续集》第一回）,byey,12652
讨价还价,tǎo  jià  huán  jià,讨：索取。买卖东西，卖主要价高，买主给价低，双方要反复争议。也比喻在进行谈判时反复争议，或接受任务时讲条件。,明·冯梦龙《古今小说》卷一：“三巧儿问了他讨价还价，便道：‘真个亏你些儿。’”,我们的方针是不拒绝谈判，要求对方完全承认八条，不许～。（毛泽东《在中国共产党第七届中央委员会第二次全体会议上的报告》）,tjhj,12516
深恶痛绝,shēn  wù  tòng  jué,恶：厌恶；痛：痛恨；绝：极。指对某人或某事物极端厌恶痛恨。,《孟子·尽心下》“斯可谓之乡愿矣” 宋·朱熹集注：“过门不入而不恨之，以其不见亲就为幸，深恶而痛绝之也。”,不象他对于墨家那样的真心的～。（闻一多《杂文·善于儒、道、土匪》）,swtj,12511
三位一体,sān  wèi  yī  tǐ,基督教把圣父、圣子、圣灵称为三位一体。常用来比喻三个人、三件事或三个方面联成的一个紧密不可分的整体。,,,swyt,12414
截然不同,jié  rán  bù  tóng,形容两件事物毫无共同之处。,宋·陆九渊《与王顺伯》：“从其教之所由起者观之，则儒释之辨，公私义利之别，判断截然，有不可民者矣。”,直到近来，经过许多学者的研究，才知道孩子的世界，与成人～。（鲁迅《坟·我们现在怎样做父亲》）,jrbt,12326
记忆犹新,jì  yì  yóu  xīn,过去的事，至今印象还非常清楚，就象刚才发生的一样。,宋·刘克庄《后村全集·跋章南举千藁》：“仆曩官健上，多识其士，友去之数十年，犹记忆如新相知；今屈指故交存者十无一二。”,恭王因为皇帝的告戒，～，在这些加官进爵的事上，要避把持的嫌疑。（高阳《玉座珠帘》下册）,jyyx,12263
喜闻乐见,xǐ  wén  lè  jiàn,喜欢听，乐意看。指很受欢迎。,,这是一部很有教育意义、人民群众～的好小说。,xwlj,12230
家喻户晓,jiā  yù  hù  xiǎo,喻：明白；晓：知道。家家户户都知道。形容人所共知。,宋·楼钥《缴郑熙等免罪》：“而遽有免罪之旨，不可以家谕（喻）户晓。”,与其作不能行远不能普及之秦汉六朝，不如作～之《水浒》《西游》文字也。（胡适《逼上梁山》）,jyhx,12098
日新月异,rì  xīn  yuè  yì,新：更新；异：不同。每天都在更新，每月都有变化。指发展或进步迅速，不断出现新事物、新气象。,《礼记·大学》：“苟日新，日日新，又日新。”,教授之术，亦采法列强，教科之书，～。（清·吴趼人《痛史·原叙》）,rxyy,12066
取而代之,qǔ  é  dài  zhī,指夺取别人的地位而由自己代替。现也指以某一事物代替另一事物。,《史记·项羽本纪》：“秦始皇游会稽，渡浙江，梁与籍俱观，籍曰：‘彼可取而代也。’”,清帝方今玩于彼股掌之上，及其时则～耳。（蔡东藩、许廑父《民国通俗演义》第八十六回）,qedz,12053
莫名其妙,mò  míng  qí  miào,说不出其中的奥妙。指事情很奇怪，说不出道理来。,清·吴趼人《二十年目睹之怪现状》第十五回：“我实在是莫名其妙，我从那时得着这么一个门生，连我也不知道。”,这个人与众不同，常有些令人～的惊人之举。,mmqm,11999
名列前茅,míng  liè  qián  máo,比喻名次列在前面。,《左传·宣公十二年》：“蔿敖为宰，择楚国之令典，军行，右辕，左追蓐，前茅虑无，中权，后劲。”,去年弟在京师，听说二公子中了秀才，且～，颇为学台赏识，实在可贺可贺。（姚雪垠《李自成》第二卷第十七章）,mlqm,11993
玩忽职守,wán  hū  zhí  shǒu,不认真、不负责地对待本职工作。,,由于他～，结果给单位造成巨大的经济损失。,whzs,11949
任重道远,rèn  zhòng  dào  yuǎn,任：负担；道：路途。担子很重，路很远。比喻责任重大，要经历长期的奋斗。,《论语·泰伯》：“士不可以不弘毅，任重而道远。仁以为己任，不亦重乎？死而后已，不亦远乎？”,人民教师肩负着培养祖国建设接班人的重担，～。,rzdy,11946
奋发有为,fèn  fā  yǒu  wéi,精神振作，有所作为。,,能够如此～，将来甚么事不好做呢！（清·李宝嘉《官场现形记》第三十五回）,ffyw,11859
举足轻重,jǔ  zú  qīng  zhòng,只要脚移动一下，就会影响两边的轻重。指处于重要地位，一举一动都足以影响全局。,《后汉书·窦融传》：“方蜀汉相攻，权在将军，举足左右，便有轻重。”,～，动关大局。（蔡东藩、许廑父《民国通俗演义》第四回）,jzqz,11820
比比皆是,bǐ  bǐ  jiē  shì,比比：一个挨一个。到处都是，形容极其常见。,《战国策·秦策一》：“犯白刃，蹈煨炭，断死于前者，比是也。”宋·包拯《请救济江淮饥民疏》：“年亢旱，民食艰阻，流亡者比比皆是。”,上自朝廷，下至草野，～。（清·曹雪芹《红楼梦》第二回）,bbjs,11743
卓有成效,zhuó  yǒu  chéng  xiào,卓：卓越，高超。有突出的成绩和效果。,,我们要奋发地工作，～地完成上级交给我们的任务。,zycx,11730
史无前例,shǐ  wú  qián  lì,历史上从来没有过的事。指前所未有。,,,swql,11636
理所当然,lǐ  suǒ  dāng  rán,按道理应当这样。,隋·王通《文中子·魏相篇》：“非辩也，理当然耳。”,善者福而恶者祸，～。（明·赵弼《续东窗事犯传》）,lsdr,11591
耳熟能详,ěr  shú  néng  xiáng,指听得多了，能够说得很清楚、很详细。,宋·欧阳修《泷冈阡表》：“吾耳熟焉，故能详也。”,,esnx,11453
一模一样,yī  mó  yī  yàng,样子完全相同。,清·吴敬梓《儒林外史》第五十四回：“今日抬头一看，却见他黄着脸、秃着头，就和前日梦里揪他的师姑一模一样，不觉就懊恼起来。”,这两件衣服从颜色到款式虽然～，但质量却有很大差别。,ymyy,11401
厉行节约,lì  xíng  jié  yuē,严格地实行节约。,,工作中必须～，反对浪费。,lxjy,11378
恶性循环,ē  xìng  xún  huán,许多坏事互为因果，循环不已，越来越坏。,,,exxh,11335
铤而走险,tǐng  ér  zǒu  xiǎn,铤：急走的样子；走险：奔赴险处。指在无路可走的时候采取冒险行动。,《左传·文公十七年》：“小国之事大国也，德则其人也，不德则其鹿也，铤而走险，急何能择？”,碰了荒年，也少不了这班人，不然，闹出那～的，更是不得了了。（清·吴趼人《二十年目睹之怪现状》第十五回）,tezx,11292
举世瞩目,jǔ  shì  zhǔ  mù,全世界的人都注视着。,,,jszm,11230
再接再厉,zài  jiē  zài  lì,接：接战；厉：磨快，引伸为奋勉，努力。指公鸡相斗，每次交锋以前先磨一下嘴。比喻继续努力，再加一把劲。,唐·韩愈《斗鸡联句》：“一喷一醒然，再接再厉乃。”,取得好成绩也不能自满，要～，不断进取。,zjzl,11218
足不出户,zú  bù  chū  hù,脚不跨出家门。,明·凌濛初《初刻拍案惊奇》卷二十五：“却说苏盼奴自赵司户去后，足不出门，一客不见，只等襄阳来音。”,据我个人的经验，我们那里的土话，和苏州很不同，但一部《海上花列传》，却教我“～”懂了白。（鲁迅《花边文学·汉字和拉丁化》,zbch,11172
翻天覆地,fān  tiān  fù  dì,覆：翻过来。形容变化巨大而彻底。也指闹得很凶。,唐·刘商《胡茄十八拍》诗：“天翻地覆谁得知，如今正南看北斗。”,真象～的变动就快要临头了。（沙汀《兽道》）,ftfd,11138
不翼而飞,bù  yì  ér  fēi,翼：翅膀。没有翅膀却飞走了。比喻物品忽然丢失。也比喻事情传播得很迅速。,《管子·戒》：“无翼而飞者声也。”《战国策·秦策三》：“众口所移，毋翼而飞。”,足足的一百六十块钱就那样便～了。（郭沫若《革命春秋·创造十年》）,byef,11020
参差不齐,cēn  cī  bù  qí,长短、高低不齐。形容水平不一或很不整齐。,《诗经·周南·关雎》：“参差荇菜，左右采之。”《汉书·扬雄传下》：“仲尼以来，国君将相卿士名臣参差不齐，一概诸圣。”,这些树很久没有修剪了，长得高高低低，～。,ccbq,10983
水涨船高,shuǐ  zhǎng  chuán  gāo,水位升高，船身也随之浮起。比喻事物随着它所凭借的基础的提高而增长提高。,宋·释道原《景德传灯录》：“水长船高，泥多佛大。”,几回事情一来，他晓得人家有仰仗他的地方，顿时～，架子亦就慢慢的大了起来。（清·李宝嘉《官场现形记》第五十九回）,szcg,10972
沸沸扬扬,fèi  fèi  yáng  yáng,沸沸：水翻滚的样子；扬扬：喧闹、翻动的样子。象沸腾的水一样喧闹。形容人声喧闹。,《山海经·西山经》：“其中多白玉，是有玉膏，其原沸沸汤汤。”,后来听得～地说：“黄泥冈上一伙贩枣的客人把蒙汗药麻翻了人，劫了生辰冈去。”（明·施耐庵《水浒全传》第十八回）,ffyy,10931
先发制人,xiān  fā  zhì  rén,发：开始行动；制：控制，制服。原指丢动手的牌主动地位，可以控制对方。后也泛指争取主动，先动手来制服对方。,《汉书·项籍传》：“先发制人，后发制于人。”,剑波没等这位警长开口，便理直气壮地来个～。（曲波《林海雪原》三）,xfzr,10913
轩然大波,xuān  rán  dà  bō,轩然：波涛高高涌起的样子。高高涌起的波涛。比喻大的纠纷或乱子。,唐·韩愈《岳阳楼别窦司直》诗：“轩然大波起，宇宙隘而妨。”,没想到这么点小事竟然引起这样一场～。,xrdb,10893
土生土长,tǔ  shēng  tǔ  zhǎng,当地生长的。,,他是当地～干部，对这里的情况了如指掌。,tstz,10861
统筹兼顾,tǒng  chóu  jiān  gù,统筹：通盘筹划；兼：本义为一手执两禾，引伸为同时进行几桩事情或占有几样东西；顾：照顾。统一筹划，全面照顾。,,国家利益、集体利益、个人利益要三者～才行。,tcjg,10847
明察暗访,míng  chá  àn  fǎng,从明里细心察看，从暗里询问了解。指用各种方法朝廷调查研究。,清·吴趼人《痛史》第十一回：“我住在此处，徒占一席，于事无济，倒不如仍然到外面去，明察暗访。”,,mcaf,10825
刻不容缓,kè  bù  róng  huǎn,指形势紧迫，一刻也不允许拖延。,宋·周密《齐东野语》：“帝王即位，即是好日，兼官历又吉，何疑？事不容缓。”,胎前产后以及难产各症，不独～，并且两命攸关。（清·李汝珍《镜花缘》第四十回）,kbrh,10797
焕然一新,huàn  rán  yī  xīn,焕然：鲜明光亮的样子。改变旧面貌，出现崭新的气象。,唐·张彦远《历代名画记·论鉴识收藏购求阅玩》：“其有晋宋名迹，焕然如新，已历数百年，纸素彩色未甚败。”,依中国法度，造作旗帜大纛，～。（清·陈忱《水浒后传》第十一回）,hryx,10740
